Hardin: "Big Horn County Museum | the Little Bighorn College | the jail | the old courthouse | County courthouse"
Glendive: "Frontier Gateway Museum | Makoshika State Park | Dawson County Courthouse | the old courthouse | the jail"
Dillon: "the University of Montana Western | Beaverhead County Museum | the old courthouse | the jail | County courthouse"
Polson: "Miracle of America Museum | Mission Mountain Winery | the old courthouse | Flathead Lake State Park | the central business district"
Devils Lake: "Fort Totten State Historic Site | the Lake Region Heritage Center | Ramsey County Courthouse | the old courthouse | the jail"
Burley: "Cassia County Museum | the old courthouse | the jail | County courthouse | Snake River Heritage Center"
Wallace: "the Wallace District Mining Museum | Sierra Silver Mine Tour | the old courthouse | the Oasis Bordello Museum | the central business district"
Kennewick: "Columbia Park | the East Benton County Historical Museum | the old courthouse | Three Rivers Children's Festival grounds | the central business district"
Centralia: "the Centralia Antique Mall | Fort Borst Park | the old courthouse | the jail | the George Washington Park"
Glendale: "Arrowhead Ranch | the Thunderbird Conservation Park | the old courthouse | Foothills Recreation Center | the central business district"
Safford: "Eastern Arizona College | Mount Graham | the old courthouse | the jail | Graham County Courthouse"
Casa Grande: "Casa Grande Ruins National Monument | the Francisco Grande Hotel & Golf Resort | the old courthouse | the jail | the central business district"
Mesa: "Mesa Arts Center | the Arizona Museum of Natural History | Hohokam Stadium | the old courthouse | the jail"
Lake Havasu City: "the London Bridge | Lake Havasu State Park | the old courthouse | Rotary Community Park | the central business district"
Berkeley: "the University of California Berkeley | Telegraph Avenue | the Berkeley Rose Garden | the old courthouse | the Lawrence Berkeley National Laboratory"
National City: "the Mile of Cars | Pepper Park | the old courthouse | the jail | the Kimball House"
Mendocino: "Mendocino Headlands State Park | the Mendocino Art Center | the old courthouse | the Kelley House Museum | the central business district"
Paso Robles: "Paso Robles Wine Country | the Paso Robles Event Center | the old courthouse | the jail | the Carnegie Historical Library"
Riverside: "the Mission Inn Hotel & Spa | the University of California Riverside | Mount Rubidoux | the old courthouse | the jail"
Delano: "the Delano Historical Society Museum | the jail | the old courthouse | the Filipino Community Center | the central business district"
San Mateo: "the jail | the San Mateo County History Museum | the old courthouse | Hillsdale Mall | the Japanese Tea Garden"
Vallejo: "Mare Island Historic Park | the Vallejo Naval and Historical Museum | the old courthouse | the jail | Six Flags Discovery Kingdom"
Glenwood Springs: "the Glenwood Hot Springs Pool | the Hotel Colorado | the old courthouse | the Frontier Historical Museum | the central business district"
Aurora: "the Aurora History Museum | the jail | the old courthouse | the Plains Conservation Center | the central business district"
Greeley: "the University of Northern Colorado | the jail | the old courthouse | the Greeley History Museum | the central business district"
Tonopah: "the Central Nevada Museum | the old courthouse | the Mizpah Hotel | the jail | the Tonopah Historic Mining Park"
Deming: "the Deming Luna Mimbres Museum | the old courthouse | the jail | the New Mexico National Guard Armory | the central business district"
Truth or Consequences: "the Geronimo Springs Museum | the old courthouse | the jail | Elephant Butte Lake State Park | the central business district"
Las Vegas: "the City of Las Vegas Museum | the old courthouse | the jail | the Carnegie Library | the central business district"
Farmington: "the Farmington Museum | San Juan College | the old courthouse | the jail | the E3 Children's Museum & Science Center"
Springfield: "the Springfield Museum | the old courthouse | the jail | Willamette University | the central business district"
Tillamook: "the Tillamook Cheese Factory | the Tillamook Air Museum | the old courthouse | the jail | the central business district"
Ontario: "the Four Rivers Cultural Center | the old courthouse | the jail | the Treasure Valley Community College | the central business district"
La Grande: "Eastern Oregon University | the old courthouse | the jail | the Union County Museum | the central business district"
Richfield: "the old courthouse | the jail | the Sevier County Courthouse | the Fremont Indian State Park | the central business district"
Nephi: "the old courthouse | the jail | the Juab County Courthouse | the Nephi City Cemetery | the central business district"
Lander: "the Museum of the American West | the old courthouse | the jail | the Fremont County Courthouse | the central business district"
Powell: "the Heart Mountain Interpretive Center | the old courthouse | the jail | Northwest College | the central business district"
Paragould: "Crowley's Ridge State Park | the old courthouse | the jail | the Arkansas State University campus | the Greene County Courthouse"
Iowa City: "the University of Iowa | the Old Capitol Building | the old courthouse | the jail | the Iowa Writers' Workshop"
Ottumwa: "the Wapello County Museum | the old courthouse | the jail | the Bridge View Center | the American Gothic House"
Spencer: "the Clay County Fair | the old courthouse | the jail | the Spencer Municipal Airport | the central business district"
Ft. Dodge: "Historic Fort Dodge | the Blanden Memorial Art Museum | the old courthouse | the jail | the Webster County Courthouse"
Hutchinson: "the Kansas Cosmosphere and Space Center | the old courthouse | the jail | the Reno County Courthouse | the Kansas State Fairgrounds"
Kansas City: "the Argentine District | the old courthouse | the jail | the University of Kansas Medical Center | the Wyandotte County Courthouse"
Lawrence: "the University of Kansas | Massachusetts Street | the old courthouse | the Spencer Museum of Art | South Park"
Garden City: "the Lee Richardson Zoo | the old courthouse | the jail | the Finney County Courthouse | the Buffalo Dunes Golf Course"
Manhattan: "Kansas State University | Aggieville | the old courthouse | the jail | the Riley County Courthouse"
Hays: "Fort Hays State University | the old courthouse | the jail | the Ellis County Courthouse | the Sternberg Museum of Natural History"
Goodland: "the High Plains Museum | the old courthouse | the jail | the Sherman County Courthouse | the Giant Van Gogh Painting"
Independence: "the Harry S. Truman Presidential Library | the old courthouse | the jail | the Jackson County Courthouse | the National Frontier Trails Museum"
Kirksville: "Truman State University | the old courthouse | the jail | the Adair County Courthouse | the Thousand Hills State Park"
Kearney: "the Great Platte River Road Archway | the old courthouse | the jail | the University of Nebraska at Kearney | the Buffalo County Courthouse"
Grand Island: "Stuhr Museum of the Prairie Pioneer | the old courthouse | the jail | the Hall County Courthouse | the Nebraska State Fair Park"
Alliance: "the Knight Museum | the old courthouse | the jail | the Box Butte County Courthouse | Carhenge"
Bartlesville: "the Price Tower | the Woolaroc Museum | the old courthouse | the jail | the Washington County Courthouse"
Enid: "the Cherokee Strip Regional Heritage Center | the old courthouse | the jail | the Garfield County Courthouse | Northwestern Oklahoma State University"
Ardmore: "the Eliza Cruce Hall Doll Museum | the old courthouse | the jail | the Carter County Courthouse | the Greater Southwest Historical Museum"
McAlester: "the Oklahoma Prison Historical Museum | the old courthouse | the jail | the Pittsburg County Courthouse | the McAlester Scottish Rite Temple"
Stillwater: "Oklahoma State University | the old courthouse | the jail | the Payne County Courthouse | the National Wrestling Hall of Fame"
Lead: "the Homestake Opera House | the old courthouse | the jail | the Black Hills Mining Museum | the Sanford Underground Research Facility"
Slidell: "the Slidell Museum | the old courthouse | the jail | the Slidell Cultural Center | Fontainebleau State Park"
Lake Charles: "the Imperial Calcasieu Museum | the old courthouse | the jail | the Calcasieu Parish Courthouse | the Lake Charles Civic Center"
Metairie: "Lakeside Shopping Center | the Metairie Cemetery | the jail | the Jefferson Parish Courthouse | the Treasure Chest Casino"
New Iberia: "the Shadows-on-the-Teche | the old courthouse | the jail | the Iberia Parish Courthouse | the Conrad Rice Mill"
Bryan: "the George H.W. Bush Presidential Library | the old courthouse | the jail | Texas A&M University | the Brazos County Courthouse"
San Marcos: "Texas State University | the Wonder World Cave | the old courthouse | the jail | the San Marcos Premium Outlets"
Longview: "the Gregg County Historical Museum | the old courthouse | the jail | the Gregg County Courthouse | LeTourneau University"
McAllen: "the International Museum of Art & Science | the old courthouse | the jail | the Hidalgo County Courthouse | Quinta Mazatlan"
